Cadena, OcurrenciaA
0, 0
1, 1
2, 0
3, 2
4, 1
5, 1
6, 0
7, 3
8, 2
9, 2
10, 1
11, 2
12, 1
13, 1
14, 0
15, 4
16, 3
17, 3
18, 2
19, 3
20, 2
21, 2
22, 1
23, 3
24, 2
25, 2
26, 1
27, 2
28, 1
29, 1
30, 0
31, 5
32, 4
33, 4
34, 3
35, 4
36, 3
37, 3
38, 2
39, 4
40, 3
41, 3
42, 2
43, 3
44, 2
45, 2
46, 1
47, 4
48, 3
49, 3
50, 2
51, 3
52, 2
53, 2
54, 1
55, 3
56, 2
57, 2
58, 1
59, 2
60, 1
61, 1
62, 0
63, 6
64, 5
65, 5
66, 4
67, 5
68, 4
69, 4
70, 3
71, 5
72, 4
73, 4
74, 3
75, 4
76, 3
77, 3
78, 2
79, 5
80, 4
81, 4
82, 3
83, 4
84, 3
85, 3
86, 2
87, 4
88, 3
89, 3
90, 2
91, 3
92, 2
93, 2
94, 1
95, 5
96, 4
97, 4
98, 3
99, 4
100, 3
101, 3
102, 2
103, 4
104, 3
105, 3
106, 2
107, 3
108, 2
109, 2
110, 1
111, 4
112, 3
113, 3
114, 2
115, 3
116, 2
117, 2
118, 1
119, 3
120, 2
121, 2
122, 1
123, 2
124, 1
125, 1
126, 0
